GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AGS001,AGS002,AGS003,AGS004,AGS005,AGS006,AGS007,AGS008,AGS009,AGS010,AGS011,AGS012,AGS013,AGS014,AGS015,AGS016,AGS017,AGS018,AGS019,AGS020,AGS021,AGT001,AGU001
"G0600670","1860","California","060","Sacramento","0670","Sacramento",,,,,,,,,,,,,,,,,,,,,,,
"G0600710","1860","California","060","San Bernardino","0710","San Bernardino",,,,,,,,,,,,,,,,,,,,,,,
"G0600730","1860","California","060","San Diego","0730","San Diego",,,,,,,,,,,,,,,,,,,,,,,
"G0600750","1860","California","060","San Francisco","0750","San Francisco",,,,,,,,,,,,,,,,,,,,,,,
"G0600770","1860","California","060","San Joaquin","0770","San Joaquin",,,,,,,,,,,,,,,,,,,,,,,
"G0600790","1860","California","060","San Luis Obispo","0790","San Luis Obispo",,,,,,,,,,,,,,,,,,,,,,,
"G0600810","1860","California","060","San Mateo","0810","San Mateo",,,,,,,,,,,,,,,,,,,,,,,
"G0600830","1860","California","060","Santa Barbara","0830","Santa Barbara",,,,,,,,,,,,,,,,,,,,,,,
"G0600850","1860","California","060","Santa Clara","0850","Santa Clara",,,,,,,,,,,,,,,,,,,,,,,
"G0600870","1860","California","060","Santa Cruz","0870","Santa Cruz",,,,,,,,,,,,,,,,,,,,,,,
"G0600890","1860","California","060","Shasta","0890","Shasta",,,,,,,,,,,,,,,,,,,,,,,
"G0600910","1860","California","060","Sierra","0910","Sierra",,,,,,,,,,,,,,,,,,,,,,,
"G0600930","1860","California","060","Siskiyou","0930","Siskiyou",,,,,,,,,,,,,,,,,,,,,,,
"G0600950","1860","California","060","Solano","0950","Solano",,,,,,,,,,,,,,,,,,,,,,,
"G0600970","1860","California","060","Sonoma","0970","Sonoma",,,,,,,,,,,,,,,,,,,,,,,
"G0600990","1860","California","060","Stanislaus","0990","Stanislaus",,,,,,,,,,,,,,,,,,,,,,,
"G0601010","1860","California","060","Sutter","1010","Sutter",,,,,,,,,,,,,,,,,,,,,,,
"G0601030","1860","California","060","Tehama","1030","Tehama",,,,,,,,,,,,,,,,,,,,,,,
