GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ABX001,ABX002,ABX003,ABX004,ABX005,ABX006,ABX007,ABX008,ABX009,ABX010,ABX011,ABX012,ABX013,ABX014,ABX015,ABX016,ABX017,ABX018,ABX019,ABX020,ABX021,ABX022,ABX023,ABX024,ABO001,ABO002,ABO003,ABO004,ABO005,ABO006,ABQ001,ABQ002
"G0900130","1830","Connecticut","090","Tolland","0130","Tolland",0,0,0,0,0,0,0,0,0,0,1,0,37,50,26,19,7,0,41,31,18,28,8,0,8988,9448,0,1,139,126,1,265
"G0900150","1830","Connecticut","090","Windham","0150","Windham",0,0,0,0,0,0,0,0,0,0,0,0,93,85,46,50,28,0,95,90,59,71,32,1,12872,13560,0,0,302,348,0,650
"G1000010","1830","Delaware","100","Kent","0010","Kent",88,168,37,6,4,0,106,122,37,10,9,1,940,906,445,400,136,1,904,865,535,409,129,1,6914,6740,303,285,2828,2843,588,5671
"G1000030","1830","Delaware","100","New Castle","0030","New Castle",115,247,67,12,12,0,95,164,50,13,11,0,885,760,567,436,204,2,852,808,560,385,240,9,11587,11639,453,333,2854,2854,786,5708
"G1000050","1830","Delaware","100","Sussex","0050","Sussex",377,438,141,65,26,3,307,331,143,57,29,1,802,593,291,344,163,7,768,686,351,308,157,6,10344,10377,1050,868,2200,2276,1918,4476
"G1100005","1830","District Of Columbia","110","Alexandria","0005","Alexandria",139,217,104,59,13,0,160,314,151,67,37,0,218,131,72,75,68,1,227,222,129,128,97,3,2602,3007,532,729,565,806,1261,1371
"G1100017","1830","District Of Columbia","110","Georgetown","0017","Georgetown",145,176,87,71,35,0,150,264,114,88,46,0,186,101,83,77,50,2,184,191,126,130,78,0,3050,3007,514,662,499,709,1176,1208
"G1100035","1830","District Of Columbia","110","Rural Alexandria County","0035","Rural Alexandria County",51,58,33,27,10,0,54,67,23,18,12,0,28,15,11,12,10,0,27,23,19,12,20,0,401,401,179,174,76,101,353,177
"G1100075","1830","District Of Columbia","110","Rural Washington county","0075","Rural Washington county",152,195,127,106,26,0,140,123,65,42,23,0,29,30,60,20,24,0,29,16,21,17,20,1,1015,713,606,393,163,104,999,267
"G1100115","1830","District Of Columbia","110","Washington City","0115","Washington City",307,378,191,112,30,3,312,502,259,176,58,2,434,372,238,221,77,0,396,581,387,277,143,3,6579,6788,1021,1309,1342,1787,2330,3129
"G1250015","1830","Florida Territory","125","Alachua","0015","Alachua",86,87,74,36,12,0,108,79,63,39,13,0,1,6,2,1,1,0,1,1,1,1,0,0,901,691,295,302,11,4,597,15
"G1250075","1830","Florida Territory","125","Duval","0075","Duval",155,171,118,66,14,0,189,135,108,50,12,0,13,10,2,8,7,0,15,16,12,2,1,0,479,387,524,494,40,46,1018,86
"G1250095","1830","Florida Territory","125","Escambia","0095","Escambia",98,126,172,44,14,0,141,138,105,38,9,0,55,40,14,14,7,0,58,56,21,31,17,1,775,544,454,431,130,184,885,314
"G1250097","1830","Florida Territory","125","Escambia (part) and Walton (part)","0097","Escambia (part) and Walton (part)",45,58,65,27,3,0,43,61,28,14,4,1,0,4,1,0,1,0,0,5,0,0,2,0,316,190,198,151,6,7,349,13
"G1250135","1830","Florida Territory","125","Gadsden","0135","Gadsden",438,393,281,137,31,0,409,442,218,122,30,0,1,0,1,0,1,0,1,1,0,1,0,0,1278,1110,1280,1221,3,3,2501,6
"G1250155","1830","Florida Territory","125","Hamilton","0155","Hamilton",12,9,4,3,0,0,2,18,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,256,236,28,33,0,0,61,0
"G1250195","1830","Florida Territory","125","Jackson","0195","Jackson",304,327,204,112,21,0,291,313,177,94,11,0,0,6,2,0,0,0,3,1,0,1,0,0,1186,854,968,886,8,5,1854,13
"G1250215","1830","Florida Territory","125","Jefferson","0215","Jefferson",295,244,213,101,21,0,254,238,151,76,17,0,3,0,0,1,0,0,1,1,1,0,0,0,928,767,874,736,4,3,1610,7
"G1250235","1830","Florida Territory","125","Leon","0235","Leon",510,570,349,169,25,0,551,534,294,124,26,0,2,1,1,0,0,0,0,0,2,0,0,0,1856,1480,1623,1529,4,2,3152,6
"G1250255","1830","Florida Territory","125","Madison","0255","Madison",46,59,15,13,0,0,49,34,30,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,124,133,130,0,0,263,0
"G1250275","1830","Florida Territory","125","Monroe","0275","Monroe",7,17,11,5,2,0,3,7,10,4,0,0,11,13,6,6,2,0,12,16,7,6,4,0,276,92,42,24,38,45,66,83
"G1250295","1830","Florida Territory","125","Mosquito","0295","Mosquito",96,95,73,64,14,0,99,99,63,43,11,0,4,2,3,1,0,1,11,1,3,0,1,0,35,14,342,315,11,16,657,27
"G1250315","1830","Florida Territory","125","Nassau","0315","Nassau",146,94,92,47,21,0,135,99,105,47,7,0,7,7,2,3,1,0,5,9,4,4,4,0,359,313,400,393,20,26,793,46
"G1250355","1830","Florida Territory","125","St Johns","0355","St Johns",144,141,104,76,32,0,164,159,132,54,24,0,30,15,4,11,11,0,27,26,17,14,17,0,689,647,497,533,71,101,1030,172
"G1250375","1830","Florida Territory","125","Walton","0375","Walton",46,45,25,24,5,0,43,35,37,15,5,0,8,5,6,9,2,0,7,2,2,2,2,0,453,429,145,135,30,15,280,45
